Sample Id,Supertype,Section.Label,Neurotransmitter.Type,Anatomical.Division,Cluster,Class,Anatomical.Structure,Subclass,Anatomical.Substructure
4181d6f2-1ee4-4969-923d-e700a2d447f4,0715 PRC-PAG Tcf7l2 Irx2 Glut_3,C57BL6J-638850.33,Glut,MB,2918 PRC-PAG Tcf7l2 Irx2 Glut_3,19 MB Glut,NOT,167 PRC-PAG Tcf7l2 Irx2 Glut,NOT
8169ef0a-9258-43c6-93bc-1e1d694aa8bc,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
249b4aeb-a14a-4ba5-b1a3-958f85c4ccea,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3243 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
efc3e58e-0738-4933-ab9f-7360169fbe1c,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3249 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
92a261c0-8c79-42d9-87c0-97290f5e45c8,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3243 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
8bd2a046-a3ba-4aa7-8779-cf3c55f46905,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3243 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
ca9d4e0a-3dd8-4bfe-9259-09017da591b5,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
e40e39b6-5921-40d2-9c9f-c638c2fd253f,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3241 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
7639cd21-062c-448e-a697-23052fd51528,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3243 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
9794b47a-22ee-4330-9efe-14edceb6f6df,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3249 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
9c5c084c-a821-4fb1-a728-b03432f5a461,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3243 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
81783784-8b55-4433-a2ce-8f1ded3fd6ae,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3243 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
376195a5-ad23-460f-8225-a61a71f1dabb,0715 PRC-PAG Tcf7l2 Irx2 Glut_3,C57BL6J-638850.33,Glut,MB,2917 PRC-PAG Tcf7l2 Irx2 Glut_3,19 MB Glut,NOT,167 PRC-PAG Tcf7l2 Irx2 Glut,NOT
b4985532-d5d9-48b5-ba2a-ab54066cd355,0764 SCig-an-PPT Foxb1 Glut_1,C57BL6J-638850.33,Glut,MB,3244 SCig-an-PPT Foxb1 Glut_1,19 MB Glut,NOT,177 SCig-an-PPT Foxb1 Glut,NOT
